PANONCEAU;NOM MAGASIN;CENTRALE;LUNDI_HO;LUNDI_HF_MIDI;LUNDI_HO_MIDI;LUNDI_HF;MARDI_HO;MARDI_HF_MIDI;MARDI_HO_MIDI;MARDI_HF;MERCREDI_HO;MERCREDI_HF_MIDI;MERCREDI_HO_MIDI;MERCREDI_HF;JEUDI_HO;JEUDI_HF_MIDI;JEUDI_HO_MIDI;JEUDI_HF;VENDREDI_HO;VENDREDI_HF_MIDI;VENDREDI_HO_MIDI;VENDREDI_HF;SAMEDI_HO;SAMEDI_HF_MIDI;SAMEDI_HO_MIDI;SAMEDI_HF;DIMANCHE_HO;DIMANCHE_HF_MIDI;DIMANCHE_HO_MIDI;DIMANCHE_HF;GPS_LATITUDE;GPS_LONGITUDE;ADRESSE;CP;VILLE;TEL;FAX;JOURS_FERIES_NATION;URL_MAGASIN;INSEE;CONCEPT_ANIMALERIE;CONCEPT_AUTO;CONCEPT_BIJOUX;CONCEPT_BORNE;CONCEPT_BRICO;CONCEPT_DRIVE;CONCEPT_ESPACE_CULTUREL;CONCEPT_EXPRESS;CONCEPT_JARDIN;CONCEPT_JOUET;CONCEPT_LOCATION;CONCEPT_OPTIQUE;CONCEPT_PARAPHARMACIE;CONCEPT_SPORT;CONCEPT_STATION;CONCEPT_UHPS;CONCEPT_VOYAGES
1478;HOUILLES;SCADIF;09:00;;;20:30;09:00;;;20:30;09:00;;;20:30;09:00;;;20:30;09:00;;;20:30;08:30;;;20:30;;;;;48.921345;2.198059;Boulevard Jean Jaures - Espace Sarazin;78800;Houilles;01.61.30.70.00;;15-08,01-11,11-11,25-12;www.e-leclerc.com/houilles;78311;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
2459;ORCHIES;SCAPARTOIS;08:30;;;19:30;08:30;;;19:30;08:30;;;19:30;08:30;;;19:30;08:30;;;20:00;08:30;;;19:30;08:30;12:30;;;50.47006;3.249168;RUE CLAUDE JEAN;59310;ORCHIES;03.20.71.91.57;03.20.61.85.20;25-12;www.e-leclerc.com/orchies;59449;N;N;N;N;N;Y;N;N;N;N;Y;N;N;N;Y;N;N
1464;Aicirits;SCALANDES;09:00;;;19:30;09:00;;;19:30;09:00;;;19:30;09:00;;;19:30;09:00;;;19:30;09:00;;;19:30;;;;;43.33275;-1.016493;ZAC DE TARGA;64120;Aicirits;05.59.65.83.09;;;www.e-leclerc.com/aicirits;64010;N;N;N;N;N;Y;N;N;N;N;Y;N;N;N;Y;N;N
0205;Briançon;LECASUD;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;12:30;44.89356;6.63509;Rue de la Soie;05100;BRIANCON;04.92.25.54.20;04.92.25.54.21;;www.e-leclerc.com/briancon;05023;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
0680;Péronne;SCAPARTOIS;08:30;;;19:30;08:30;;;19:30;08:30;;;19:30;08:30;;;19:30;08:30;;;20:00;08:30;;;20:00;;;;;49.943214;2.939169;Avenue des Australiens;80200;PERONNE;03.22.73.36.00;03.22.73.36.09;25-12;www.e-leclerc.com/peronne;80620;N;N;N;N;N;N;N;N;N;N;Y;N;N;N;Y;N;N
2086;FOLELLI;LECASUD;08:30;;;20:30;08:30;;;20:30;08:30;;;20:30;08:30;;;20:30;08:30;;;20:30;08:30;;;20:30;08:30;;;13:00;42.26571;9.302289;B.P. 51;20213;FOLELLI;04 95 59 70 20;04 95 36 46 00;25-12;www.e-leclerc.com/folelli;2B207;N;N;N;N;N;N;N;N;N;N;Y;N;Y;N;N;N;N
1314;ARGENCES;SCANORMANDE;09:00;;;20:00;09:00;;;20:00;09:00;;;20:00;09:00;;;20:00;09:00;;;20:00;09:00;;;20:00;00:00;;;00:00;49.121014;-0.1741;Rue de la Gare;14370;ARGENCES;02.31.23.95.30;02.31.23.98.23;15-08,01-11,11-11,25-12;www.e-leclerc.com/argences;14020;N;N;N;N;N;Y;N;N;N;N;Y;N;N;N;Y;N;N
2087;GRAND BASTIA;LECASUD;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;;;;;42.665245;9.440266;Avenue Sampiero Corso, RN 193;20600;BASTIA;04.95.30.14.50;;15-08,01-11,25-12;www.e-leclerc.com/grand-bastia;2B033;N;N;N;N;N;N;N;N;N;N;Y;N;N;N;N;N;N
0924;TERRASSON LAVILLEDIEU;SCASO;08:45;;;19:30;08:45;;;19:30;08:45;;;19:30;08:45;;;19:30;08:45;;;19:30;08:45;;;19:30;09:00;;;12:30;45.12966;1.323253;ZI DU COUTAL;24120;TERRASSON LAVILLEDIEU;05.53.50.96.90;;15-08,01-11,11-11,25-12;www.e-leclerc.com/terrasson-lavilledieu;24547;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
1567;SOULTZ SOUS FORETS;SCAPALSACE;08:00;;;19:00;08:00;;;19:00;08:00;;;19:00;08:00;;;19:00;08:00;;;19:30;08:00;;;18:30;;;;;48.937588;7.883884;rue des chênes;67250;SOULTZ-SOUS-FORETS;03.88.05.67.00;;15-08,01-11,11-11,25-12;www.e-leclerc.com/soultzdis;67474;N;N;N;N;N;N;N;N;N;N;Y;N;N;N;Y;N;N
2006;NICE RIVIERA;LECASUD;10:00;;;19:30;10:00;;;19:30;10:00;;;19:30;10:00;;;19:30;10:00;;;19:30;10:00;;;19:30;;;;;43.70625;7.193549;RUE JULES BIANCHI;06200;NICE;04 93 18 35 50;;15-08,01-11,11-11,25-12;www.e-leclerc.com/nice-riviera;06088;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
1368;Wasselonne;SCAPALSACE;08:30;;;19:30;08:30;;;19:30;08:30;;;19:30;08:30;;;19:30;08:30;;;20:00;08:30;;;19:30;;;;;48.649414;7.461605;ROUTE DE HOHENGOEFT;67310;WASSELONNE;03.88.04.80.60;03.88.04.80.69;15-08,01-11,11-11,25-12;www.e-leclerc.com/wasselonne;67520;N;N;N;N;N;N;N;N;N;N;N;N;N;N;Y;N;N
2195;MAGNY EN VEXIN;SCAPNOR;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;09:00;;;13:00;49.144268;1.787551;Route de Mantes;95420;MAGNY EN VEXIN;01.34.46.89.90;01.34.46.89.97;25-12;www.e-leclerc.com/magny-en-vexin;95355;N;N;N;N;N;N;N;N;N;N;Y;N;N;N;Y;N;N
0521;AUXONNE;SCAPALSACE;08:30;;;19:30;08:30;;;19:30;08:30;;;19:30;08:30;;;19:30;08:30;;;20:00;08:30;;;19:30;;;;;47.18012;5.400622;avenue du Général de Gaulle;21130;AUXONNE;03.80.10.01.30;03.80.10.01.35;25-12;www.e-leclerc.com/auxonne;21038;N;N;N;N;N;N;N;N;N;N;N;N;N;N;Y;N;N
2422;PLANCOET;SCARMOR;09:00;;;20:00;09:00;;;20:00;09:00;;;20:00;09:00;;;20:00;09:00;;;20:00;09:00;;;20:00;;;;;48.52535;-2.253983;Z.A La MILLIERE II;22130;PLUDUNO;09.70.72.75.00;02.96.80.53.94;01-11,25-12;www.e-leclerc.com/plancoet;22237;N;N;N;N;N;N;N;N;N;N;Y;N;N;N;Y;N;N
0473;AIME DISTRIBUTION;SOCARA ;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;12:30;;;45.551975;6.646167;Zone Artisanale des Iles;73210;AIME LA PLAGNE;04.79.01.30.30;;15-08,01-11,11-11,25-12;www.e-leclerc.com/aime-distribution;73006;N;N;N;N;N;N;Y;N;N;N;Y;N;Y;N;Y;N;N
1234;PEZENAS;SOCAMIL;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;09:00;12:30;;;43.452976;3.406916;Route de Tourbes;34120;PEZENAS;04.67.98.15.99;04.67.98.29.67;15-08,01-11,11-11,25-12;www.e-leclerc.com/pezenas;34199;N;N;N;N;N;Y;N;N;N;N;Y;N;N;N;N;N;N
1134;LE BOSC;SOCAMIL;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;09:00;13:00;;;43.69442;3.34283;zae la méridienne - Autoroute A75 sortie 54;34700;LE BOSC;04.67.44.92.00;;;www.e-leclerc.com/le-bosc;34036;N;N;N;N;N;Y;N;N;N;N;N;N;N;N;Y;N;N
1514;VILLERS BOCAGE;SCANORMANDE;08:30;;;19:30;08:30;;;19:30;08:30;;;19:30;08:30;;;19:30;08:30;;;20:00;08:30;;;19:30;;;;;49.0744;-0.657739;Les Sauts Cabris;14310;Villers Bocage;02-31-73-73-90;02-31-73-73-91;15-08,01-11,11-11,25-12;www.e-leclerc.com/villers-bocage;80798;N;N;N;N;N;N;N;N;N;N;N;N;N;N;Y;N;N
1662;Etaples;SCAPARTOIS;09:00;;;19:30;09:00;;;19:30;09:00;;;19:30;09:00;;;19:30;09:00;;;19:30;09:00;;;19:30;09:00;;;13:00;50.52603;1.627564;CD 940;62630;ETAPLES;03.21.94.20.14;03.21.09.67.83;15-08,01-11,11-11,25-12;www.e-leclerc.com/etaples;62318;N;N;N;N;N;N;N;N;N;N;Y;N;N;N;Y;N;N
2060;CREVECOEUR LE GRAND;SCAPNOR;09:00;;;20:00;09:00;;;20:00;09:00;;;20:00;09:00;;;20:00;09:00;;;20:30;09:00;;;20:00;09:00;;;12:45;49.603676;2.084073;AVENUE DU GENERAL DE GAULLE;60360;CREVECOEUR LE GRAND;03.44.82.88.00;03.44.46.64.95;25-12;www.e-leclerc.com/crevecoeur-le-grand;60178;N;N;N;N;N;N;N;N;N;N;N;N;N;N;Y;N;N
1414;BLAINVILLE;SCANORMANDE;09:00;;;20:00;09:00;;;20:00;09:00;;;20:00;09:00;;;20:00;09:00;;;20:00;09:00;;;20:00;09:00;12:30;;;49.22878;-0.298992;1 rond point Royal Norfolk;14550;Blainville sur Orne;02 31 95 69 30;02 31 50 43 64;01-11,11-11,25-12;www.e-leclerc.com/blainville;14076;N;N;N;N;N;Y;N;N;N;N;Y;N;N;N;Y;N;N
1668;MASEVAUX;SCAPALSACE;08:30;;;19:00;08:30;;;19:00;08:30;;;19:00;08:30;;;19:00;08:30;;;19:30;08:30;;;19:00;;;;;47.77325;7.001158;Rue du général De Gaulle;68290;MASEVAUX;03.89.38.08.10;03.89.38.08.29;15-08,01-11,11-11,25-12;www.e-leclerc.com/masevaux;68275;N;N;N;N;N;Y;N;N;N;N;Y;N;N;N;Y;N;N
1275;PARIS 19;SCADIF;09:00;;;21:00;09:00;;;21:00;09:00;;;21:00;09:00;;;21:00;09:00;;;21:00;09:00;;;21:00;;;;;48.898895;2.374784;191 Bld Mc Donald;75019;Paris XIX;01.40.38.66.10;01 42 08 87 30;15-08,01-11,11-11,25-12;www.e-leclerc.com/paris19;75119;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
2556;Josselin;SCAOUEST;08:30;;;19:30;08:30;;;19:30;08:30;;;19:30;08:30;;;19:30;08:30;;;20:00;08:30;;;19:30;;;;;47.961105;-2.545373;Rue du Porhoët;56120;JOSSELIN;02.97.73.96.00;02.97.73.96.01;15-08,01-11,11-11,25-12;www.e-leclerc.com/josselin;56091;N;N;N;N;N;Y;N;N;N;N;N;N;N;N;Y;N;N
2259;Aulnoye aymeries;SCAPARTOIS;09:00;;;19:30;09:00;;;19:30;09:00;;;19:30;09:00;;;19:30;09:00;;;20:00;09:00;;;19:30;09:00;12:30;;;50.197937;3.841423;Rue emile zola;59620;AULNOYE AYMERIES;03.27.56.53.50;03.27.56.53.51;15-08,01-11,11-11,25-12;www.e-leclerc.com/aulnoye-aymeries;59033;N;N;N;N;N;N;N;N;N;N;N;N;Y;N;N;Y;N
3233;MIOS;SCASO;08:30;;;20:30;08:30;;;20:30;08:30;;;20:30;08:30;;;20:30;08:30;;;20:30;08:30;;;20:30;09:00;;;12:45;44.617283;-0.917989;rue Jean-Marie Pelt, RD216;33380;MIOS;05 56 827 837;05 56 03 98 48;25-12;www.e-leclerc.com/mios;33284;N;N;N;N;N;N;N;N;N;N;N;N;N;N;Y;N;N
2035;Bain de Bretagne;SCAOUEST;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;;;;;47.85891;-1.689739;ZA Château Gaillard;35470;BAIN DE BRETAGNE;02.99.43.78.79;;15-08,01-11,11-11,25-12;www.e-leclerc.com/bain-de-bretagne;35012;N;N;N;N;N;Y;N;N;N;N;Y;N;N;N;Y;N;N
1226;Saulce sur Rhône;LECASUD;08:45;;;19:30;08:45;;;19:30;08:45;;;19:30;08:45;;;19:30;08:45;;;19:30;08:45;;;19:30;09:00;;;12:30;44.706486;4.80051;Avenue du Dauphiné;26270;SAULCE SUR RHÔNE;04.75.62.11.00;04.75.62.11.01;;www.e-leclerc.com/saulce;26337;N;N;N;N;N;N;N;N;N;N;N;N;N;N;Y;N;N
0139;Champagnole;SCAPALSACE;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;12:30;;;46.74598;5.919206;Rue Clémenceau;39300;CHAMPAGNOLE;03.84.53.12.40;;25-12;www.e-leclerc.com/champagnole;39097;N;N;N;N;N;N;N;N;N;N;N;N;N;N;Y;N;N
0215;FLOURDIS;SCACENTRE;09:00;;;19:30;09:00;;;19:30;09:00;;;19:30;09:00;;;19:30;09:00;;;19:30;09:00;;;19:30;;;;;45.030922;3.1378;ZAC DU CROZATIER;15100;SAINT GEORGES;04.71.20.10.00;04.71.20.37.19;11-11,25-12;www.e-leclerc.com/flourdis;15188;N;N;N;N;N;Y;N;N;N;N;Y;N;Y;N;N;N;N
1906;VALLAURIS;LECASUD;08:30;;;21:00;08:30;;;21:00;08:30;;;21:00;08:30;;;21:00;08:30;;;21:00;08:30;;;21:00;08:30;;;13:00;43.5925;7.05687;Chemin Saint Bernard;06220;VALLAURIS;04.97.28.85.50;04.97.28.85.51;25-12;www.e-leclerc.com/vallauris;06155;N;N;N;N;N;N;N;N;N;N;N;N;Y;N;Y;N;N
0780;Pont-Rémy;SCAPARTOIS;08:30;;;19:30;08:30;;;19:30;08:30;;;19:30;08:30;;;19:30;08:30;;;19:30;08:30;;;19:30;09:00;12:30;;;50.058094;1.900065;Rue Jean Moulin;80580;Pont-Rémy;03.22.29.61.00;;15-08,01-11,11-11,25-12;www.e-leclerc.com/pont-remy;80635;N;N;N;N;N;N;N;N;N;N;N;N;N;N;Y;N;N
1477;OZOIR LA FERRIERE;SCADIF;08:45;;;19:30;08:45;;;19:30;08:45;;;19:30;08:45;;;19:30;08:45;;;20:00;08:45;;;19:30;08:45;;;12:30;48.758087;2.699624;RUE FRANCOIS DE TESSAN;77330;OZOIR LA FERRIERE;01.60.02.62.27;01.60.02.77.38;15-08,01-11,11-11,25-12;www.e-leclerc.com/ozoir-la-ferriere;77350;N;N;N;N;N;N;N;N;N;N;Y;N;N;N;Y;N;N
3944;HERBIGNAC;SCAOUEST;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;09:00;;;12:45;47.451355;-2.315406;Bd de la brière;44410;HERBIGNAC;02.51.76.99.99;;15-08,01-11,11-11,25-12;www.e-leclerc.com/herbignac;44410;N;N;N;N;N;Y;N;N;N;N;N;N;N;N;N;N;N
3033;La Teste;SCASO;09:00;;;20:30;09:00;;;20:30;09:00;;;20:30;09:00;;;20:30;09:00;;;20:30;09:00;;;20:30;09:30;12:45;;;44.617126;-1.119018;Avenue de l'Europe;33260;LA TESTE DE BUCH;05.57.52.10.10;05.57.15.71.63;25-12;www.e-leclerc.com/la-teste;33529;N;N;N;N;N;N;N;N;N;N;N;Y;N;N;Y;N;N
1186;Jardres;SCACHAP;09:00;;;19:30;09:00;;;19:30;09:00;;;19:30;09:00;;;19:30;09:00;;;20:00;09:00;;;19:30;;;;;46.57022;0.61708;RN  LA CARTE;86800;JARDRES;05 49 46 38 58;05 49 47 56 88;15-08,01-11,11-11,25-12;www.e-leclerc.com/jardres;86114;N;Y;N;N;N;Y;N;N;N;N;N;Y;Y;Y;Y;N;N
1045;MALESHERBES;SOCAMAINE;09:00;;;19:30;09:00;;;19:30;09:00;;;19:30;09:00;;;19:30;09:00;;;19:30;09:00;;;19:30;09:00;12:30;;;48.290928;2.398027;RUE DE VAULUIZARD;45330;MALESHERBES;02.38.30.83.90;02.38.39.90.84;;www.e-leclerc.com/malesherbes;45191;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
1378;RAMBOUILLET;SCADIF;09:00;;;20:00;09:00;;;20:00;09:00;;;20:00;09:00;;;20:00;09:00;;;20:30;09:00;;;20:30;;;;;48.6462;1.855551;Place de L'Europe          Z.A.C DE LA CLAIRIERE;78120;RAMBOUILLET;01.30.41.08.12;01.30.59.86.51;25-12;www.e-leclerc.com/rambouillet;78517;N;N;N;N;N;N;N;N;N;N;Y;N;Y;N;Y;N;N
2185;Le Poiré sur vie;SCAOUEST;09:00;;;19:30;09:00;;;19:30;09:00;;;19:30;09:00;;;19:30;09:00;;;20:00;09:00;;;19:30;09:00;12:30;;;46.766026;-1.498341;Boulevard des 2 Moulins;85170;LE POIRE SUR VIE;02.51.31.42.48;02.51.31.44.95;15-08,01-11,11-11,25-12;www.e-leclerc.com/psv;85178;N;N;N;N;N;Y;N;N;N;N;N;Y;N;N;Y;N;N
1377;MONTEVRAIN;SCADIF;09:00;;;20:30;09:00;;;20:30;09:00;;;20:30;09:00;;;20:30;09:00;;;20:30;09:00;;;20:30;09:00;12:30;;;48.85484;2.757837;ZAC du Clos du chêne Rue du clos rose;77144;MONTEVRAIN;01.60.21.33.00;01.60.21.33.09;25-12;www.e-leclerc.com/montevrain;77307;N;N;N;N;N;Y;N;N;N;N;Y;N;N;N;N;N;N
1693;Bobigny;SCAPNOR;09:00;;;21:00;09:00;;;21:00;09:00;;;21:00;09:00;;;21:00;09:00;;;21:00;09:00;;;21:00;09:00;12:30;;;48.91301;2.436411;Avenue Jean Jaures - Zac Matisse;93000;BOBIGNY;01.41.50.58.90;;15-08,01-11,11-11,25-12;www.e-leclerc.com/bobigny;93008;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
3133;VERDON SUR MER;SCASO;09:00;;;20:00;09:00;;;20:00;09:00;;;20:00;09:00;;;20:00;09:00;;;20:00;09:00;;;20:00;09:00;;;20:00;45.545597;-1.063317;17 rue de verdun;33123;LE VERDON SUR MER;05.56.41.49.41;05.56.41.49.50;25-12;www.e-leclerc.com/verdon-sur-mer;33544;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
1491;Fleury Mérogis;SCADIF;08:30;;;20:30;08:30;;;20:30;08:30;;;20:30;08:30;;;20:30;08:30;;;21:00;08:30;;;20:30;09:00;;;12:30;48.637516;2.360097;Rue Rosa Parks;91700;FLEURY MEROGIS;01.69.46.83.83;01.69.46.83.84;15-08,01-11,11-11,25-12;www.e-leclerc.com/fleury-merogis;91235;N;N;N;N;N;Y;N;N;N;N;N;N;N;N;N;N;N
2160;LA CROIX SAINT OUEN;SCAPNOR;08:30;;;20:30;08:30;;;20:30;08:30;;;20:30;08:30;;;20:30;08:30;;;20:30;08:30;;;20:30;;;;;49.35842;2.781151;ZAC des Jardins Rue Gabrielle Chanel;60610;LA CROIX SAINT OUEN;03 44 91 46 26;;25-12;www.e-leclerc.com/la-croix-saint-ouen;60338;N;N;N;N;N;N;N;N;N;N;Y;N;N;N;N;N;N
1784;MORIERES LES AVIGNON;LECASUD;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;12:30;;;43.953053;4.902032;CLOS FOLARD;84310;MORIERES LES AVIGNON;04.90.33.55.55;04.90.33.55.59;15-08,01-11,11-11,25-12;www.e-leclerc.com/sadajup;84081;N;N;N;N;N;N;N;N;N;N;Y;Y;N;N;Y;N;N
1238;Pont de Beauvoisin;SOCARA ;08:15;;;20:30;08:15;;;20:30;08:15;;;20:30;08:15;;;20:30;08:15;;;20:30;08:15;;;20:30;08:30;;;12:30;45.537277;5.646043;Chemin de Clermont;38480;PONT DE BEAUVOISIN;04.76.91.76.20;;01-11,11-11,25-12;www.e-leclerc.com/pont-de-beauvoisin;38315;N;N;N;N;N;Y;N;N;N;N;Y;N;N;N;Y;N;N
6771;Express INGWILLER;HYPERCOOP;08:30;;;19:00;08:30;;;19:00;08:30;;;19:00;08:30;;;19:00;08:30;;;19:30;08:00;;;18:00;;;;;48.868816;7.479479;Rue du Général de Gaulle;67340;INGWILLER;03.88.89.46.20;03.88.89.63.52;15-08,01-11,11-11,25-12;www.e-leclerc.com/ingwiller;67222;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
0120;OLETTA;LECASUD;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;13:00;;;42.66305;9.315112;LES JARDINS D'OLETTA;20217;ST FLORENT;04.95.55.55.25;;01-11,11-11,25-12;www.e-leclerc.com/oletta;2B298;N;N;N;N;N;Y;N;N;N;N;Y;Y;N;N;N;N;Y
6777;Express HERRLISHEIM;HYPERCOOP;08:00;;;19:00;08:00;;;19:00;08:00;;;19:00;08:00;;;19:00;08:00;;;19:30;08:00;;;19:00;;;;;48.730865;7.901151;rue du Collège;67850;HERRLISHEIM;03.90.64.60.00;03.90.64.60.09;15-08,01-11,11-11,25-12;www.e-leclerc.com/herrlisheim;67194;N;N;N;N;N;N;N;N;N;N;N;N;N;N;Y;N;N
6772;Express HILSENHEIM;HYPERCOOP;08:30;;;19:00;08:30;;;19:00;08:30;;;19:00;08:30;;;19:00;08:30;;;19:00;08:00;;;18:00;;;;;48.290077;7.566508;rue des Tisserands;67600;HILSENHEIM;03.90.56.41.20;;15-08,01-11,11-11,25-12;www.e-leclerc.com/hilsenheim;67196;N;N;N;N;N;Y;N;N;N;N;N;N;N;N;Y;N;N
2613;MEYRARGUES;LECASUD;09:00;;;20:00;09:00;;;20:00;09:00;;;20:00;09:00;;;20:00;09:00;;;20:00;09:00;;;20:00;09:00;12:30;;;43.641502;5.53096;RN 96 LA COUDOUROUSSE;13650;MEYRARGUES;04.42.28.18.00;04.42.28.18.09;25-12;www.e-leclerc.com/meyrargues;13059;N;N;N;N;N;Y;N;N;N;N;N;Y;N;N;Y;N;N
6787;Express REICHSTETT;HYPERCOOP;08:30;;;19:30;08:30;;;19:30;08:30;;;19:30;08:30;;;19:30;08:00;;;19:30;08:00;;;19:00;;;;;48.65077;7.75178;Rue du Général de Gaulle;67116;REICHSTETT;03.88.18.14.49;03.88.18.43.19;15-08,01-11,11-11,25-12;www.e-leclerc.com/reichstett;67389;N;N;N;N;N;N;N;N;N;N;N;N;N;N;Y;N;N
6895;Express RIXHEIM;HYPERCOOP;08:00;;;19:00;08:00;;;19:00;08:00;;;19:00;08:00;;;19:00;08:00;;;19:00;08:00;;;19:00;;;;;47.746445;7.399303;Rue St Jean;68170;RIXHEIM;03.89.36.80.10;03.89.36.80.11;15-08,01-11,11-11,25-12;www.e-leclerc.com/rixheim;68278;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
1667;Express HAGUENAU;HYPERCOOP;08:00;;;19:30;08:00;;;19:30;08:00;;;19:30;08:00;;;19:30;08:00;;;19:30;08:00;;;19:00;;;;;48.800877;7.775122;Avenue du Professeur Leriche;67500;HAGUENAU;03.88.73.95.85;03.88.73.95.45;15-08,01-11,11-11,25-12;www.e-leclerc.com/haguenau;67180;N;N;N;N;N;N;N;N;N;N;N;N;N;N;Y;N;N
6788;Express ILLKIRCH GRAFFENSTADEN;HYPERCOOP;08:00;;;19:30;08:00;;;19:30;08:00;;;19:30;08:00;;;19:30;08:00;;;19:30;08:00;;;18:30;;;;;48.52184;7.721574;Rue des Vignes;67400;ILLKIRCH-GRAFFENSTADEN;03.88.66.11.10;03.88.66.97.73;15-08,01-11,11-11,25-12;www.e-leclerc.com/illkirch;67218;N;N;N;N;N;N;N;N;N;N;N;N;N;N;Y;N;N
1960;Breteuil;SCAPARTOIS;08:30;;;19:30;08:30;;;19:30;08:30;;;19:30;08:30;;;19:30;08:30;;;19:30;08:30;;;19:30;;;;;49.640167;2.278472;rue d'amiens;60120;BRETEUIL;03 44 04 50 50;0344045816;15-08,25-12;www.e-leclerc.com/breteuil;60104;N;N;N;N;N;Y;N;N;N;N;Y;Y;N;N;Y;N;N
6776;Express HOCHFELDEN;HYPERCOOP;08:00;;;19:00;08:00;;;19:00;08:00;;;19:00;08:00;;;19:00;08:00;;;19:30;08:00;;;18:30;;;;;48.757767;7.574429;Rue du 14 Juillet;67270;HOCHFELDEN;03.88.91.54.51;03.88.91.72.11;15-08,01-11,11-11,25-12;www.e-leclerc.com/hochfelden;67202;N;N;N;N;N;Y;N;N;N;N;N;N;N;N;Y;N;N
1762;Aire Distribution;SCAPARTOIS;08:30;;;19:30;08:30;;;19:30;08:30;;;19:30;08:30;;;19:30;08:30;;;19:30;08:30;;;19:30;08:30;12:30;;;50.633293;2.422311;Rue de constantinople;62120;Aire sur la Lys;03.21.38.21.73;03.91.92.81.38;15-08,01-11,11-11,25-12;www.e-leclerc.com/aire-distribution;62014;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
6774;Express BISCHWILLER;HYPERCOOP;08:00;;;19:00;08:00;;;19:00;08:00;;;19:00;08:00;;;19:00;08:00;;;19:00;08:00;;;19:00;;;;;48.770298;7.851899;rue du Général Rampont;67240;BISCHWILLER;03.88.63.03.54;03.88.63.12.09;15-08,01-11,11-11,25-12;www.e-leclerc.com/bischwiller;67046;N;N;N;N;N;N;N;N;N;N;N;N;N;N;Y;N;N
1126;SAINT RAMBERT D'ALBON;SOCARA ;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:30;08:30;;;20:00;09:00;12:30;;;45.2773;4.821274;ZA LA TULANDIERE SUD 26 ROUTE DE LA MAISON BLANCHE;26140;SAINT RAMBERT D'ALBON;04.75.23.89.30;04.75.23.85.80;15-08,01-11,11-11,25-12;www.e-leclerc.com/saint-rambert;26325;N;N;Y;N;N;Y;N;N;N;N;N;Y;N;N;Y;N;Y
1364;BIARRITZ;SCALANDES;08:30;;;20:30;08:30;;;20:30;08:30;;;20:30;08:30;;;20:30;08:30;;;20:30;08:30;;;20:30;09:00;12:30;;;43.463104;-1.53876;RUE DES HIRONDELLES - ZONE COMMERCIALE D'IRATY;64200;BIARRITZ;05.59.08.04.30;05.59.23.34.10;15-08,01-11,11-11,25-12;www.e-leclerc.com/biarritz;64122;N;N;Y;N;N;Y;N;N;N;N;Y;Y;N;N;Y;N;Y
1806;CANNES LA BOCCA;LECASUD;08:30;;;20:30;08:30;;;20:30;08:30;;;20:30;08:30;;;20:30;08:30;;;20:30;08:30;;;20:30;08:30;13:00;;;43.568855;6.966509;AVENUE VICTOR HUGO;06150;CANNES LA BOCCA;04.92.19.47.80;;25-12;www.e-leclerc.com/cannes-la-bocca;06920;N;N;N;N;N;N;N;N;N;N;N;Y;N;N;Y;N;N
