PANONCEAU;NOM MAGASIN;CENTRALE;LUNDI_HO;LUNDI_HF_MIDI;LUNDI_HO_MIDI;LUNDI_HF;MARDI_HO;MARDI_HF_MIDI;MARDI_HO_MIDI;MARDI_HF;MERCREDI_HO;MERCREDI_HF_MIDI;MERCREDI_HO_MIDI;MERCREDI_HF;JEUDI_HO;JEUDI_HF_MIDI;JEUDI_HO_MIDI;JEUDI_HF;VENDREDI_HO;VENDREDI_HF_MIDI;VENDREDI_HO_MIDI;VENDREDI_HF;SAMEDI_HO;SAMEDI_HF_MIDI;SAMEDI_HO_MIDI;SAMEDI_HF;DIMANCHE_HO;DIMANCHE_HF_MIDI;DIMANCHE_HO_MIDI;DIMANCHE_HF;GPS_LATITUDE;GPS_LONGITUDE;ADRESSE;CP;VILLE;TEL;FAX;JOURS_FERIES_NATION;URL_MAGASIN;INSEE;CONCEPT_ANIMALERIE;CONCEPT_AUTO;CONCEPT_BIJOUX;CONCEPT_BORNE;CONCEPT_BRICO;CONCEPT_DRIVE;CONCEPT_ESPACE_CULTUREL;CONCEPT_EXPRESS;CONCEPT_JARDIN;CONCEPT_JOUET;CONCEPT_LOCATION;CONCEPT_OPTIQUE;CONCEPT_PARAPHARMACIE;CONCEPT_SPORT;CONCEPT_STATION;CONCEPT_UHPS;CONCEPT_VOYAGES
0221;MARSANNAY LA COTE;SCAPALSACE;09:00;;;21:00;09:00;;;21:00;09:00;;;21:00;09:00;;;21:00;08:30;;;21:00;08:30;;;21:00;;;;;47.27873;5.020528;ZONE D'ACTIVITE SUD;21160;MARSANNAY LA COTE;03.80.58.71.00;;15-08,01-11,11-11,25-12;www.e-leclerc.com/marsannay-la-cote;21390;N;N;Y;N;N;Y;N;N;N;N;Y;N;N;N;Y;N;Y
0128;CHATEAUDUN;SOCAMAINE;09:00;;;19:30;09:00;;;19:30;09:00;;;19:30;09:00;;;19:30;09:00;;;19:30;09:00;;;19:30;;;;;48.067375;1.302266;ROUTE DU MANS SAINT-DENIS-LES-PONTS;28200;CHATEAUDUN;02.37.45.39.23;02.37.45.90.66;15-08,01-11,25-12;www.e-leclerc.com/chateaudun;28088;N;Y;Y;Y;N;Y;Y;N;N;N;Y;Y;N;N;Y;Y;Y
0724;PERIGUEUX;SCASO;08:30;;;19:45;08:30;;;19:45;08:30;;;19:45;08:30;;;19:45;08:30;;;19:45;08:30;;;19:45;09:00;12:30;;;45.188656;0.717764;16 RUE DU CLOS CHASSAING;24071;PERIGUEUX CEDEX;05.53.53.67.73;05.53.07.69.72;25-12;www.e-leclerc.com/perigueux;24322;N;N;Y;N;N;N;N;N;N;N;Y;N;N;N;Y;N;Y
0594;CHAMPIGNY;SCADIF;09:00;;;20:20;09:00;;;20:20;09:00;;;20:20;09:00;;;20:20;09:00;;;20:50;08:30;;;20:20;;;;;48.81957;2.53006;156 RUE ALEXANDRE FOURNY;94500;CHAMPIGNY SUR MARNE;01.47.06.64.64;01.48.82.40.41;15-08,25-12;www.e-leclerc.com/champigny;94017;N;N;Y;N;N;N;N;N;N;N;N;Y;N;N;Y;N;Y
0602;BEAUTOR;SCAPEST;08:30;;;19:30;08:30;;;19:30;08:30;;;19:30;08:30;;;19:30;08:30;;;19:30;08:30;;;19:30;09:00;12:30;;;49.65948;3.345777;8 RUE DU CHEMIN BLANC;02800;BEAUTOR;03.23.56.61.20;03.23.56.61.30;15-08,01-11,11-11,25-12;www.e-leclerc.com/beautor;02059;N;Y;Y;N;N;N;N;N;N;N;N;Y;N;N;Y;N;Y
0260;MONTATAIRE;SCAPNOR;08:45;;;20:00;08:45;;;20:00;08:45;;;20:00;08:45;;;20:00;08:45;;;20:00;08:45;;;20:00;09:00;13:00;;;49.25292;2.427524;19 RUE ANDRE GINISTI;60160;THIVERNY-MONTATAIRE;03.44.28.55.55;03.44.25.85.22;25-12;www.e-leclerc.com/montataire;60414;N;N;Y;N;N;Y;N;N;N;N;Y;Y;N;N;Y;Y;Y
0212;onet-le-chateau;SOCAMIL;09:00;;;20:00;09:00;;;20:00;09:00;;;20:00;09:00;;;20:00;09:00;;;20:30;09:00;;;20:00;;;;;44.39358;2.603079;L'ESTRENIOL POLE COMMERCIAL COMTAL SUD;12850;ONET LE CHATEAU;05.65.74.59.00;05.65.74.59.19;15-08,01-11,11-11,25-12;www.e-leclerc.com/onet-le-chateau;12176;N;Y;Y;Y;N;Y;Y;N;N;N;Y;Y;Y;N;Y;N;Y
0714;BAYEUX;SCANORMANDE;09:00;;;20:00;09:00;;;20:00;09:00;;;20:00;09:00;;;20:00;09:00;;;20:00;09:00;;;20:00;;;;;49.2786;-0.718549;BOULEVARD DU 6 JUIN BP 45436;14404;BAYEUX CEDEX;02.31.92.36.04;02.31.21.83.77;01-11,11-11,25-12;www.e-leclerc.com/bayeux;14047;N;Y;Y;Y;N;Y;Y;N;N;N;Y;Y;N;N;Y;N;Y
0717;ROCHEFORT;SCACHAP;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;;;;;45.92419;-0.960196;AVENUE DU 11 NOVEMBRE;17300;ROCHEFORT SUR MER;05.46.82.12.80;05.46.83.97.99;15-08,01-11,11-11,25-12;www.e-leclerc.com/rochefort;17299;Y;Y;Y;N;N;Y;Y;N;Y;N;Y;Y;N;N;Y;Y;Y
0289;AUXERRE;SCAPEST;09:00;;;20:00;09:00;;;20:00;09:00;;;20:00;09:00;;;20:00;09:00;;;20:30;08:30;;;20:00;09:00;;;12:30;47.797623;3.579456;14-16 AVENUE JEAN JAURES;89000;AUXERRE;03.86.46.46.00;03.86.46.81.20;15-08,01-11,11-11,25-12;www.e-leclerc.com/auxerre;89024;N;N;Y;N;N;Y;Y;Y;N;N;N;Y;Y;N;Y;N;Y
0295;L'ISLE ADAM;SCAPNOR;;;14:00;20:00;09:00;;;20:00;09:00;;;20:00;09:00;;;20:00;08:45;;;20:00;08:45;;;20:00;09:15;12:30;;;49.11511;2.227912;25 RUE MICHEL PONIATOWSKY;95290;L'ISLE ADAM;01.34.69.38.20;01.34.69.35.58;25-12;www.e-leclerc.com/lisle-adam;95313;N;N;Y;N;N;Y;N;N;N;N;N;Y;N;N;Y;N;Y
0301;FERNEYDIS;SOCARA ;08:30;;;20:30;08:30;;;20:30;08:30;;;20:30;08:30;;;20:30;08:30;;;20:30;08:30;;;20:00;;;;;46.24723;6.097471;ROUTE DE MEYRIN;01210;FERNEY VOLTAIRE;04.50.42.80.00;04.50.40.75.69;15-08,01-11,25-12;www.e-leclerc.com/ferneydis;01160;N;N;Y;N;N;N;N;N;N;N;N;Y;Y;N;Y;N;Y
0288;BRUYERES;SCAPALSACE;08:30;;;19:00;08:30;;;19:00;08:30;;;19:00;08:30;;;19:00;08:30;;;19:30;08:30;;;19:00;;;;;48.19933;6.726764;3 ROUTE DE GERARDMER;88600;BRUYERES;03.29.50.58.14;03.29.50.10.02;01-11,25-12;www.e-leclerc.com/bruyeres;88078;N;N;Y;N;N;N;N;N;N;N;Y;N;N;N;Y;N;Y
0484;APT;LECASUD;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;;;;;43.88274;5.381375;CHEMIN DES ABATTOIRS;84400;APT;04.90.74.05.04;04.90.74.28.37;01-11,25-12;www.e-leclerc.com/apt;84003;N;N;Y;N;N;Y;N;N;N;N;Y;Y;N;Y;Y;N;Y
0287;LIMOGES;SCACHAP;09:00;;;20:00;09:00;;;20:00;09:00;;;20:00;09:00;;;20:00;09:00;;;20:30;09:00;;;20:00;;;;;45.869205;1.268338;RUE HENRI GIFFARD ZI NORD;87280;LIMOGES;05.55.38.14.28;05.55.38.48.59;15-08,01-11,25-12;www.e-leclerc.com/limoges;87085;N;N;Y;N;N;Y;Y;N;N;N;Y;Y;Y;N;Y;Y;Y
0124;PASTEUR;SCASO;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;09:00;12:30;;;44.862;0.498;avenue Pasteur;24107;BERGERAC;05.53.63.59.59;05.53.24.59.61;25-12;www.e-leclerc.com/pasteur;24037;N;N;Y;N;Y;Y;N;N;Y;N;N;N;N;N;Y;N;Y
0119;BRIVE;SCASO;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:30;08:30;;;20:00;;;;;45.166813;1.546143;AVENUE DU PRESIDENT KENNEDY;19100;BRIVE LA GAILLARDE;05.55.92.76.00;05.55.92.76.01;25-12;www.e-leclerc.com/brive;19031;N;N;Y;N;N;Y;N;N;N;N;N;N;N;N;Y;N;Y
0457;THIONVILLE;SCAPEST;08:30;;;20:30;08:30;;;20:30;08:30;;;20:30;08:30;;;20:30;08:30;;;20:30;08:30;;;20:30;;;;;49.35843;6.13049;Route d'Arlon - Zone du Linkling 3;57100;THIONVILLE;03.82.59.50.00;03.82.59.50.01;15-08,01-11,25-12;www.e-leclerc.com/thionville;57672;N;Y;Y;Y;N;Y;Y;Y;N;N;Y;Y;Y;Y;Y;Y;Y
0461;L'AIGLE;SCANORMANDE;09:00;;;19:30;09:00;;;19:30;09:00;;;19:30;09:00;;;19:30;09:00;;;20:30;09:00;;;19:30;;;;;48.761032;0.641336;ROUTE DE PARIS;61300;L'AIGLE;02.33.24.44.44;02.33.84.87.99;01-11,11-11,25-12;www.e-leclerc.com/laigle;61214;N;N;Y;N;N;Y;Y;N;N;N;Y;Y;Y;N;Y;Y;Y
0123;GUERET;SCACHAP;08:30;;;19:30;08:30;;;19:30;08:30;;;19:30;08:30;;;19:30;08:30;;;20:00;08:30;;;19:30;;;;;46.177708;1.877404;36-40 AVENUE DU BERRY;23008;GUERET;05.55.51.91.00;05.55.52.36.99;15-08,01-11,11-11,25-12;www.e-leclerc.com/gueret;23096;N;N;Y;N;Y;Y;Y;N;N;N;Y;Y;N;N;Y;N;Y
0438;TIGNIEU;SOCARA ;08:30;;;20:30;08:30;;;20:30;08:30;;;20:30;08:30;;;20:30;08:30;;;20:30;08:30;;;20:00;;;;;45.745182;5.183244;Rue des Ardennes;38230;TIGNIEU JAMEYZIEU;04.72.46.17.17;04.72.02.94.06;15-08,01-11,11-11,25-12;www.e-leclerc.com/tignieu;38507;N;N;Y;N;N;N;Y;N;N;N;Y;Y;N;N;Y;N;Y
0116;COGNAC;SCACHAP;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;21:00;08:30;;;20:00;;;;;45.6852;-0.338666;105 RUE BASSE ST MARTIN;16100;COGNAC;05.45.36.17.17;;01-11,25-12;www.e-leclerc.com/cognac;16102;N;N;Y;Y;N;Y;Y;N;N;N;Y;Y;Y;N;Y;Y;Y
0117;SAINTES ABBAYE;SCACHAP;08:30;;;19:45;08:30;;;19:45;08:30;;;19:45;08:30;;;19:45;08:30;;;20:15;08:30;;;19:45;;;;;45.74098;-0.62667;COURS CHARLES DE GAULLE;17100;SAINTES;05.46.92.12.00;;15-08,01-11,11-11,25-12;www.e-leclerc.com/saintes-sam;17415;N;N;Y;Y;N;Y;N;N;N;N;Y;Y;N;N;Y;N;Y
0118;VIERZON;SCACENTRE;08:45;;;19:30;08:45;;;19:30;08:45;;;19:30;08:45;;;19:30;08:45;;;20:00;08:45;;;19:30;;;;;47.23064;2.085159;RUE DU MOUTON;18103;VIERZON CEDEX;02.48.53.00.10;02.48.53.00.11;15-08,01-11,11-11,25-12;www.e-leclerc.com/vierzon;18279;N;N;Y;N;N;Y;Y;N;N;N;Y;Y;Y;N;Y;N;Y
0695;PERSAN;SCAPNOR;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;09:00;12:30;;;49.145317;2.283145;8 RUE DU 8 MAI 1945;95340;PERSAN;01.30.34.46.90;01.30.34.00.96;01-11,25-12;www.e-leclerc.com/persan;95487;N;Y;Y;N;N;N;N;N;N;N;N;Y;N;N;Y;N;Y
0706;VENCE;LECASUD;08:30;;;20:30;08:30;;;20:30;08:30;;;20:30;08:30;;;20:30;08:30;;;20:30;08:30;;;20:30;08:30;;;13:00;43.72108;7.109951;AVENUE EMILE HUGUES;06140;VENCE;04.93.24.52.52;04.93.24.52.40;01-11,11-11,25-12;www.e-leclerc.com/vence;06157;N;N;Y;N;N;N;Y;N;N;N;N;Y;N;N;Y;N;Y
0437;AMBOISE;SOCAMAINE;09:00;;;19:30;09:00;;;19:30;09:00;;;19:30;09:00;;;19:30;09:00;;;20:00;09:00;;;19:30;;;;;47.40341;1.01734;AVENUE LEONARD DE VINCI;37400;AMBOISE;02.47.23.35.80;02.47.23.35.99;15-08,01-11,11-11,25-12;www.e-leclerc.com/amboise;37003;N;N;Y;Y;N;Y;N;N;N;N;Y;Y;N;N;Y;Y;Y
0738;SAINT MARTIN D'HERES;SOCARA ;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;09:00;12:30;;;45.16984;5.753209;RUE  DU PRE RUFFIER ZAC DU NOUVEAU CENTRE VILLE;38400;ST MARTIN D'HERES;04.76.62.97.77;04.76.62.00.22;15-08,01-11,11-11,25-12;www.e-leclerc.com/st-martin-dheres;38421;N;N;Y;N;N;N;N;N;N;N;Y;Y;N;N;Y;N;Y
0740;DAX;SCALANDES;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;09:00;;;12:30;43.708797;-1.044298;RUE DE LA CROIX BLANCHE;40100;DAX;05.58.56.68.00;05.58.56.07.77;25-12;www.e-leclerc.com/dax;40088;N;N;Y;N;N;N;N;N;N;N;N;Y;Y;N;Y;N;Y
0477;Varennes sur Seine;SCAPEST;09:00;;;20:30;09:00;;;20:30;09:00;;;20:30;09:00;;;20:30;09:00;;;21:00;09:00;;;20:30;;;;;48.36224;2.956942;Espace Commercial du Bréau - Route du Bréau;77130;VARENNES SUR SEINE;0.800.896.307;;01-11,11-11,25-12;www.e-leclerc.com/varennes;77482;N;N;Y;N;N;Y;Y;N;N;N;Y;Y;Y;N;Y;Y;Y
0479;THOUARS;SCAOUEST;09:00;;;20:00;09:00;;;20:00;09:00;;;20:00;09:00;;;20:00;09:00;;;20:00;09:00;;;20:00;;;;;46.99703;-0.207002;15 ROUTE DE SAUMUR BP 152 - SAINTE VERGE;79104;THOUARS;05.49.68.11.33;05.49.66.07.37;15-08,01-11,25-12;www.e-leclerc.com/thouars;79329;N;N;Y;N;N;Y;Y;N;N;N;N;Y;N;N;Y;N;Y
0480;RIVERY;SCAPARTOIS;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;;;;;49.911358;2.334933;AVENUE DE LA DEFENSE PASSIVE;80136;RIVERY;03.22.70.28.28;03.22.70.28.29;15-08,01-11,25-12;www.e-leclerc.com/rivery;80674;N;N;N;Y;N;Y;N;N;N;N;N;Y;N;N;Y;N;N
0481;GRAULHET;SOCAMIL;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;;;;;43.75956;1.96482;ROUTE DE LAVAUR;81300;GRAULHET;05.63.34.85.76;05.63.34.25.43;15-08,01-11,11-11,25-12;www.e-leclerc.com/graulhet;81105;N;N;Y;N;N;Y;N;N;N;N;Y;Y;Y;N;Y;N;Y
